# sweep Nv Ne
0 3 3
1000 3 3
2000 3 3
3000 3 3
4000 3 3
5000 3 3
6000 3 3
7000 3 3
8000 3 3
9000 3 3
10000 3 3
11000 3 3
12000 3 3
13000 3 3
14000 3 3
15000 3 3
16000 3 3
17000 3 3
18000 3 3
19000 3 3
20000 4 5
21000 4 5
22000 4 5
23000 4 5
24000 4 5
25000 4 5
26000 4 5
27000 5 7
28000 5 7
29000 5 7
30000 5 7
31000 5 7
32000 5 7
33000 5 7
34000 6 9
35000 6 9
36000 6 9
37000 6 9
38000 5 7
39000 5 7
40000 5 7
41000 5 7
42000 5 7
43000 5 7
44000 5 7
45000 5 7
46000 5 7
47000 5 7
48000 5 7
49000 5 7
50000 6 9
51000 6 9
52000 6 9
53000 6 9
54000 6 9
55000 6 9
56000 6 9
57000 6 9
58000 6 9
59000 6 9
60000 7 11
61000 7 11
62000 7 11
63000 7 11
64000 7 11
65000 7 11
66000 7 11
67000 7 11
68000 7 11
69000 7 11
70000 7 11
71000 7 11
72000 7 11
73000 7 11
74000 7 11
75000 7 11
76000 8 13
77000 8 13
78000 8 14
79000 8 14
80000 8 14
81000 8 14
82000 8 14
83000 8 14
84000 8 14
85000 8 14
86000 8 14
87000 8 14
88000 8 14
89000 7 12
90000 7 12
91000 7 12
92000 7 12
93000 7 12
94000 7 12
95000 7 12
96000 7 12
97000 7 12
98000 7 12
99000 7 12
100000 7 12
101000 7 12
102000 7 12
103000 7 12
104000 7 12
105000 7 12
106000 8 14
107000 8 14
108000 8 14
109000 8 14
110000 8 14
111000 8 14
112000 8 14
113000 8 14
114000 8 14
115000 8 14
116000 9 16
117000 10 18
118000 11 20
119000 11 20
120000 12 22
121000 12 23
122000 12 23
123000 11 21
124000 11 21
125000 11 21
126000 11 21
127000 11 21
128000 11 21
129000 11 21
130000 11 21
131000 11 21
132000 11 21
133000 11 21
134000 11 21
135000 11 22
136000 11 22
137000 11 22
138000 11 22
139000 11 22
140000 11 22
141000 11 22
142000 11 22
143000 11 22
144000 11 22
145000 12 24
146000 12 24
147000 12 24
148000 12 24
149000 12 24
150000 12 24
151000 12 24
152000 12 24
153000 12 24
154000 12 24
155000 12 24
156000 12 24
157000 12 24
158000 12 24
159000 12 24
160000 12 24
161000 12 24
162000 12 24
163000 12 24
164000 12 24
165000 12 24
166000 12 24
167000 12 24
168000 12 24
169000 12 24
170000 12 24
171000 12 24
172000 12 24
173000 12 24
174000 12 24
175000 12 24
176000 12 24
177000 12 24
178000 12 24
179000 12 24
180000 12 24
181000 12 24
182000 12 24
183000 12 24
184000 12 24
185000 12 24
186000 12 24
187000 12 24
188000 12 24
189000 12 24
190000 12 24
191000 12 24
192000 12 24
193000 12 24
194000 12 24
195000 12 24
196000 12 24
197000 12 24
198000 12 24
199000 12 24
200000 13 26
201000 13 26
202000 13 26
203000 13 26
204000 14 28
205000 14 28
206000 14 28
207000 15 30
208000 15 30
209000 16 32
210000 16 32
211000 17 34
212000 17 34
213000 17 34
214000 17 34
215000 17 34
216000 17 34
217000 17 34
218000 17 34
219000 17 34
220000 17 34
221000 17 34
222000 18 36
223000 18 36
224000 18 36
225000 18 36
226000 18 36
227000 18 36
228000 18 36
229000 18 36
230000 19 38
231000 20 39
232000 20 39
233000 20 39
234000 21 41
235000 21 41
236000 21 42
237000 23 46
238000 23 46
239000 23 46
240000 24 48
241000 24 48
242000 25 50
243000 25 50
244000 25 50
245000 25 50
246000 25 50
247000 24 48
248000 24 48
249000 24 48
250000 24 48
251000 24 48
252000 24 48
253000 24 49
254000 24 49
255000 24 49
256000 24 49
257000 24 49
258000 24 49
259000 24 49
260000 24 49
261000 25 51
262000 25 51
263000 25 51
264000 25 51
265000 24 51
266000 24 51
267000 24 51
268000 24 51
269000 24 51
270000 24 51
271000 24 51
272000 24 51
273000 24 51
274000 24 51
275000 24 51
276000 24 51
277000 24 51
278000 24 51
279000 25 53
280000 25 53
281000 25 54
282000 25 54
283000 25 55
284000 25 55
285000 25 55
286000 25 55
287000 25 55
288000 26 57
289000 26 57
290000 26 57
291000 27 59
292000 27 59
293000 27 59
294000 27 59
295000 27 59
296000 27 59
297000 27 59
298000 27 59
299000 27 60
300000 27 60
301000 27 60
302000 27 60
303000 27 60
304000 27 60
305000 27 60
306000 27 60
307000 27 60
308000 27 60
309000 27 60
310000 27 60
311000 27 60
312000 27 60
313000 28 62
314000 28 62
315000 28 62
316000 29 64
317000 29 64
318000 28 62
319000 28 62
320000 28 62
321000 28 62
322000 28 62
323000 29 64
324000 29 64
325000 29 64
326000 29 64
327000 29 63
328000 29 63
329000 29 63
330000 28 61
331000 29 63
332000 29 63
333000 29 63
334000 30 65
335000 30 66
336000 30 66
337000 30 66
338000 30 66
339000 30 66
340000 30 67
341000 30 67
342000 30 68
343000 30 68
344000 30 68
345000 30 68
346000 30 68
347000 30 68
348000 30 68
349000 30 68
350000 30 68
351000 30 68
352000 30 68
353000 30 68
354000 30 68
355000 30 68
356000 30 68
357000 30 68
358000 30 68
359000 30 68
360000 30 68
361000 30 68
362000 30 68
363000 30 67
364000 30 67
365000 30 67
366000 30 67
367000 30 67
368000 30 68
369000 31 70
370000 31 70
371000 31 70
372000 31 71
373000 31 72
374000 31 72
375000 31 72
376000 33 76
377000 34 79
378000 34 79
379000 34 79
380000 34 80
381000 34 83
382000 34 83
383000 34 84
384000 34 84
385000 34 84
386000 34 84
387000 34 85
388000 35 87
389000 35 87
390000 35 87
391000 35 87
392000 35 87
393000 35 87
394000 35 87
395000 35 87
396000 35 87
397000 35 87
398000 35 87
399000 34 85
400000 34 85
401000 35 87
402000 35 87
403000 35 87
404000 35 87
405000 36 89
406000 36 90
407000 36 90
408000 36 90
409000 36 90
410000 37 92
411000 37 92
412000 37 92
413000 37 93
414000 37 93
415000 38 95
416000 38 95
417000 38 95
418000 39 97
419000 39 97
420000 39 97
421000 39 98
422000 39 98
423000 39 98
424000 39 98
425000 39 98
426000 39 98
427000 39 98
428000 39 98
429000 39 98
430000 39 98
431000 39 98
432000 39 98
433000 39 98
434000 39 98
435000 39 98
436000 39 98
437000 39 98
438000 39 98
439000 39 98
440000 39 98
441000 39 98
442000 39 98
443000 39 98
444000 39 98
445000 39 98
446000 39 98
447000 39 98
448000 39 98
449000 39 97
450000 39 98
451000 39 98
452000 38 98
453000 38 98
454000 38 98
455000 38 98
456000 38 98
457000 38 98
458000 39 100
459000 39 100
460000 39 100
461000 39 100
462000 39 100
463000 39 100
464000 39 100
465000 39 100
466000 39 99
467000 39 99
468000 40 101
469000 40 101
470000 40 101
471000 41 104
472000 41 105
473000 41 105
474000 41 105
475000 41 105
476000 41 106
477000 41 106
478000 41 106
479000 41 106
480000 41 107
481000 41 107
482000 41 107
483000 41 108
484000 41 108
485000 41 108
486000 41 108
487000 41 108
488000 41 108
489000 41 108
490000 42 110
491000 42 110
492000 42 110
493000 42 110
494000 42 110
495000 42 110
496000 42 110
497000 42 110
498000 43 112
499000 42 112
500000 42 112
501000 42 112
502000 42 112
503000 42 112
504000 42 111
505000 42 111
506000 42 111
507000 42 111
508000 42 111
509000 42 111
510000 42 111
511000 42 111
512000 42 111
513000 42 111
514000 42 111
515000 43 113
516000 43 113
517000 43 113
518000 43 113
519000 43 113
520000 43 113
521000 43 113
522000 43 113
523000 43 114
524000 43 114
525000 43 114
526000 43 114
527000 43 114
528000 43 114
529000 43 114
530000 43 114
531000 43 114
532000 43 115
533000 43 115
534000 43 115
535000 43 115
536000 43 115
537000 42 113
538000 42 113
539000 42 112
540000 42 112
541000 42 112
542000 42 112
543000 42 112
544000 42 112
545000 42 112
546000 42 112
547000 42 112
548000 42 112
549000 42 110
550000 43 112
551000 43 112
552000 43 113
553000 43 113
554000 43 113
555000 43 113
556000 43 113
557000 43 113
558000 43 113
559000 43 113
560000 42 111
561000 42 111
562000 42 111
563000 42 111
564000 42 111
565000 42 111
566000 42 111
567000 42 111
568000 42 111
569000 42 111
570000 42 111
571000 42 111
572000 42 111
573000 42 111
574000 42 111
575000 42 111
576000 42 111
577000 42 111
578000 42 111
579000 42 111
580000 42 111
581000 42 111
582000 42 111
583000 42 111
584000 42 111
585000 42 111
586000 42 111
587000 42 111
588000 42 111
589000 42 111
590000 42 110
591000 42 110
592000 42 109
593000 42 109
594000 42 110
595000 42 110
596000 42 111
597000 42 111
598000 42 111
599000 42 111
600000 42 111
601000 42 111
602000 42 111
603000 43 113
604000 43 113
605000 43 114
606000 43 114
607000 43 114
608000 43 114
609000 43 114
610000 44 115
611000 44 115
612000 44 115
613000 44 115
614000 44 116
615000 45 117
616000 45 117
617000 45 117
618000 45 117
619000 45 117
620000 45 117
621000 45 117
622000 45 116
623000 45 117
624000 45 117
625000 45 117
626000 45 117
627000 45 117
628000 45 117
629000 46 119
630000 47 121
631000 47 121
632000 47 121
633000 47 121
634000 48 123
635000 48 123
636000 48 123
637000 48 123
638000 48 124
639000 48 124
640000 49 127
641000 49 128
642000 49 128
643000 49 128
644000 50 130
645000 50 130
646000 50 130
647000 50 130
648000 50 130
