# sweep Nv Ne
0 3 3
1000 3 3
2000 3 3
3000 3 3
4000 3 3
5000 3 3
6000 3 3
7000 3 3
8000 3 3
9000 3 3
10000 3 3
11000 3 3
12000 3 3
13000 3 3
14000 3 3
15000 3 3
16000 3 3
17000 3 3
18000 3 3
19000 3 3
20000 3 3
21000 3 3
22000 3 3
23000 3 3
24000 3 3
25000 3 3
26000 3 3
27000 3 3
28000 3 3
29000 3 3
30000 3 3
31000 3 3
32000 3 3
33000 3 3
34000 3 3
35000 3 3
36000 3 3
37000 3 3
38000 3 3
39000 3 3
40000 3 3
41000 3 3
42000 3 3
43000 3 3
44000 3 3
45000 3 3
46000 3 3
47000 3 3
48000 3 3
49000 3 3
50000 3 3
51000 3 3
52000 3 3
53000 3 3
54000 3 3
55000 3 3
56000 3 3
57000 3 3
58000 3 3
59000 3 3
60000 3 3
61000 3 3
62000 3 3
63000 3 3
64000 3 3
65000 3 3
66000 3 3
67000 3 3
68000 3 3
69000 3 3
70000 3 3
71000 3 3
72000 3 3
73000 3 3
74000 3 3
75000 3 3
76000 3 3
77000 3 3
78000 3 3
79000 3 3
80000 3 3
81000 3 3
82000 3 3
83000 3 3
84000 3 3
85000 3 3
86000 3 3
87000 3 3
88000 3 3
89000 3 3
90000 3 3
91000 3 3
92000 3 3
93000 3 3
94000 3 3
95000 3 3
96000 3 3
97000 3 3
98000 3 3
99000 3 3
100000 3 3
101000 3 3
102000 3 3
103000 3 3
104000 3 3
105000 3 3
106000 4 5
107000 4 5
108000 3 3
109000 3 3
110000 3 3
111000 3 3
112000 3 3
113000 3 3
114000 3 3
115000 3 3
116000 3 3
117000 3 3
118000 3 3
119000 3 3
120000 3 3
121000 4 5
122000 4 5
123000 4 5
124000 4 5
125000 4 5
126000 4 5
127000 4 5
128000 4 5
129000 4 5
130000 5 7
131000 5 7
132000 5 7
133000 5 7
134000 5 7
135000 5 7
136000 5 7
137000 5 7
138000 5 7
139000 5 7
140000 5 7
141000 5 7
142000 5 7
143000 5 7
144000 5 7
145000 6 9
146000 6 9
147000 6 9
148000 6 9
149000 6 9
150000 6 9
151000 6 9
152000 6 9
153000 6 9
154000 6 9
155000 6 9
156000 6 9
157000 6 9
158000 6 9
159000 6 9
160000 6 9
161000 6 9
162000 7 11
163000 7 11
164000 6 9
165000 6 9
166000 6 9
167000 6 9
168000 6 9
169000 6 9
170000 8 13
171000 8 14
172000 8 14
173000 9 16
174000 9 16
175000 9 16
176000 9 16
177000 9 16
178000 9 16
179000 9 16
180000 9 16
181000 9 16
182000 9 16
183000 8 14
184000 8 14
185000 8 14
186000 7 12
187000 7 12
188000 7 12
189000 7 12
190000 7 12
191000 7 12
192000 7 12
193000 7 12
194000 7 12
195000 7 12
196000 7 12
197000 7 12
198000 7 12
199000 7 12
200000 7 12
201000 7 12
202000 7 12
203000 7 12
204000 7 12
205000 7 12
206000 7 12
207000 7 12
208000 7 12
209000 7 12
210000 7 12
211000 7 12
212000 7 12
213000 7 12
214000 7 12
215000 7 12
216000 7 12
217000 7 12
218000 7 12
219000 7 12
220000 7 12
221000 8 14
222000 8 14
223000 8 14
224000 8 14
225000 8 14
226000 8 14
227000 8 14
228000 8 14
229000 8 14
230000 8 14
231000 8 14
232000 8 14
233000 8 14
234000 8 14
235000 8 14
236000 8 14
237000 8 14
238000 8 14
239000 8 14
240000 8 14
241000 8 14
242000 8 14
243000 8 14
244000 8 14
245000 8 14
246000 8 14
247000 8 14
248000 8 14
249000 8 14
250000 8 14
251000 8 14
252000 8 14
253000 8 14
254000 8 14
255000 8 14
256000 8 14
257000 8 14
258000 8 14
259000 8 14
260000 8 14
261000 8 14
262000 8 14
263000 8 14
264000 8 14
265000 8 14
266000 8 14
267000 8 14
268000 8 14
269000 8 14
270000 8 14
271000 8 14
272000 8 14
273000 8 14
274000 8 14
275000 8 14
276000 9 16
277000 9 16
278000 9 16
279000 9 16
280000 9 16
281000 9 16
282000 8 14
283000 8 14
284000 8 14
285000 8 14
286000 8 14
287000 8 14
288000 8 14
289000 8 14
290000 8 14
291000 8 14
292000 8 14
293000 8 14
294000 8 14
295000 8 14
296000 8 14
297000 7 12
298000 7 12
299000 7 12
300000 7 12
301000 7 12
302000 7 12
303000 7 12
304000 7 12
305000 8 14
306000 8 14
307000 8 14
308000 8 14
309000 8 14
310000 8 14
311000 8 14
312000 8 14
313000 8 14
314000 8 14
315000 8 14
316000 8 14
317000 8 14
318000 8 14
319000 8 14
320000 9 16
321000 9 16
322000 9 16
323000 9 17
324000 9 17
325000 9 17
326000 9 17
327000 9 17
328000 9 17
329000 9 17
330000 9 17
331000 9 17
332000 9 17
333000 9 17
334000 9 17
335000 9 17
336000 9 17
337000 9 17
338000 9 17
339000 9 17
340000 9 17
341000 9 17
342000 9 17
343000 9 17
344000 9 17
345000 9 17
346000 9 17
347000 9 17
348000 9 17
349000 10 19
350000 10 19
351000 10 19
352000 10 19
353000 10 19
354000 10 19
355000 10 19
356000 10 19
357000 10 19
358000 10 19
359000 10 19
360000 10 19
361000 10 18
362000 10 18
363000 10 18
364000 10 18
365000 10 18
366000 10 18
367000 10 18
368000 10 18
369000 10 18
370000 10 18
371000 10 18
372000 10 18
373000 10 18
374000 10 18
375000 10 18
376000 10 18
377000 10 18
378000 10 18
379000 10 18
380000 10 18
381000 10 18
382000 10 18
383000 10 18
384000 10 18
385000 10 18
386000 10 18
387000 10 18
388000 10 18
389000 10 19
390000 10 19
391000 10 19
392000 10 19
393000 10 19
394000 10 19
395000 10 19
396000 10 19
397000 10 19
398000 10 19
399000 10 19
400000 10 19
401000 10 19
402000 10 19
403000 10 19
404000 10 19
405000 10 19
406000 10 19
407000 10 19
408000 11 21
409000 12 23
410000 12 23
411000 12 23
412000 12 23
413000 12 23
414000 12 23
415000 12 24
416000 12 24
417000 12 24
418000 12 24
419000 12 24
420000 12 24
421000 12 24
422000 12 23
423000 12 23
424000 12 23
425000 12 23
426000 12 23
427000 12 23
428000 12 23
429000 12 23
430000 12 23
431000 11 21
432000 11 21
433000 11 22
434000 11 22
435000 11 22
436000 11 22
437000 11 22
438000 11 22
439000 11 22
440000 11 22
441000 11 22
442000 11 22
443000 11 22
444000 11 22
445000 12 24
446000 12 24
447000 12 24
448000 12 23
449000 12 23
450000 12 23
451000 12 24
452000 12 23
453000 12 24
454000 12 24
455000 12 24
456000 12 24
457000 12 24
458000 12 24
459000 12 24
460000 12 24
461000 12 24
462000 12 24
463000 11 22
464000 11 22
465000 11 22
466000 12 24
467000 12 24
468000 12 24
469000 12 24
470000 12 24
471000 12 24
472000 12 24
473000 13 26
474000 13 26
475000 13 26
476000 13 26
477000 13 26
478000 13 26
479000 13 26
480000 13 26
481000 13 26
482000 13 26
483000 13 26
484000 13 26
485000 13 26
486000 13 26
487000 13 26
488000 13 26
489000 13 26
490000 13 26
491000 13 26
492000 13 26
493000 13 26
494000 14 28
495000 14 28
496000 14 28
497000 14 28
498000 15 30
499000 15 31
500000 15 31
501000 15 31
502000 15 31
503000 15 31
504000 15 32
505000 15 32
506000 15 32
507000 15 32
508000 15 32
509000 15 31
510000 15 31
511000 15 31
512000 15 31
513000 15 31
514000 15 31
515000 15 31
516000 15 31
517000 16 33
518000 16 34
519000 15 32
520000 15 32
521000 15 32
522000 15 31
523000 16 33
524000 16 33
525000 16 33
526000 17 35
527000 17 35
528000 17 35
529000 17 35
530000 17 35
531000 17 36
532000 17 36
533000 17 36
534000 17 35
535000 17 35
536000 17 35
537000 17 35
538000 17 35
539000 17 35
540000 17 35
541000 17 35
542000 17 36
543000 17 36
544000 17 36
545000 17 36
546000 17 35
547000 17 35
548000 17 36
549000 17 36
550000 17 36
551000 17 36
552000 17 36
553000 17 36
554000 17 36
555000 17 36
556000 17 36
557000 17 36
558000 17 36
559000 17 36
560000 17 36
561000 17 36
562000 17 36
563000 17 36
564000 17 36
565000 17 36
566000 17 36
567000 17 36
568000 17 36
569000 17 35
570000 17 35
571000 17 36
572000 17 36
573000 17 35
574000 17 35
575000 17 35
576000 17 35
577000 18 37
578000 18 37
579000 18 37
580000 18 37
581000 18 37
582000 18 38
583000 18 38
584000 18 38
585000 18 38
586000 18 38
587000 18 38
588000 18 38
589000 18 38
590000 18 38
591000 18 38
592000 18 38
593000 18 38
594000 18 38
595000 17 36
596000 18 38
597000 18 39
598000 19 41
599000 20 44
600000 20 44
601000 20 44
602000 20 44
603000 20 44
604000 20 44
605000 19 43
606000 19 43
607000 19 43
608000 19 43
609000 19 43
610000 19 43
611000 19 43
612000 19 43
613000 19 43
614000 20 45
615000 20 45
616000 20 46
617000 20 46
618000 20 46
619000 20 46
620000 20 46
621000 20 46
622000 20 46
623000 20 46
624000 20 46
625000 20 46
626000 20 46
627000 20 46
628000 20 46
629000 20 46
630000 20 46
631000 20 46
632000 20 46
633000 20 46
634000 20 46
635000 20 46
636000 20 46
637000 20 46
638000 20 46
639000 20 46
640000 20 46
641000 20 46
642000 20 46
643000 20 46
644000 20 46
645000 20 46
646000 20 46
647000 20 46
648000 20 46
